Unnamed: 0,accident_date,aircraft_type,registration,operator,fatalities,location,damage_severity,manufacturer
1162,26 Aug 2018,Harbin Y-12E,HK-5036,SATENA,0.0,Santafé del Caguán,Sub,Harbin
1163,26 Aug 2018,Boeing 767-333ER (WL),C-FMWV,Air Canada Rouge,0.0,"31 km N of Vancouver International Airport, BC (YVR)",Sub,Boeing
1164,26 Aug 2018,Cessna 208B Grand Caravan,5Y-BOP,Bush Air Safaris,0.0,Pieri Airstrip,Sub,Cessna
1165,27 Aug 2018,Airbus A320-214 (WL),JA14VA,Vanilla Air,0.0,45 KM East of Miyazaki Airport,Non,Airbus
1166,28 Aug 2018,Antonov An-2R,LZ-1409,Air Mizia,0.0,near Brusartsi,Sub,Antonov
1167,28 Aug 2018,Airbus A320-214,B-6952,Beijing Capital Airlines,0.0,Macau Airport (MFM),Sub,Airbus
1168,30 Aug 2018,de Havilland Canada DHC-6 Twin Otter 300,ET-AIU/808,Ethiopian Air Force,18.0,near Mojo,W/O,De
1169,31 Aug 2018,Cessna 680 Citation Sovereign,TC-OYD,Boydak Air,0.0,Bourgas Airport (BOJ),Sub,Cessna
1170,1 Sep 2018,Boeing 737-8AS (WL),VQ-BJI,Utair,0.0,Adler/Sochi Airport (AER),W/O,Boeing
1171,3 Sep 2018,Beechcraft B200 Super King Air,N97WC,West Coast Aviation Services,0.0,"Burbank-Bob Hope Airport, CA (BUR)",Sub,Beechcraft
1172,6 Sep 2018,Boeing 757-223 (WL),N173AN,American Airlines,0.0,"near New York, NY",Non,Boeing
1173,6 Sep 2018,Beechcraft A100 King Air,PT-LJN,VOAR Aviação,0.0,"Itapaci, GO",Sub,Beechcraft
1174,9 Sep 2018,Let L-410UVP,UR-TWO,"South West Aviation, lsf Slav-Air",20.0,"1,6 km W of Yirol Airstrip",W/O,Let
1175,10 Sep 2018,Boeing 737-823 (WL),N950NN,American Airlines,0.0,"Phoenix-Sky Harbor International Airport, AZ (PHX/KPHX)",Non,Boeing
1176,15 Sep 2018,Boeing 777-333ER,C-FNNW,Air Canada,0.0,NE of Nova Scotia,Non,Boeing
1177,15 Sep 2018,Canadair CL-215-6B11 (CL-415),C-FOFI,Government of Newfoundland and Labrador,0.0,"Whitehead Pond, NL",Sub,Canadair
1178,16 Sep 2018,Boeing 777-328ER,F-GSQL,Air France,0.0,Mauritius-Sir Seewoosagur Ramgoolam International Airport (MRU/FIMP),Non,Boeing
1179,16 Sep 2018,Boeing 747-428FER,TC-ACM,"Saudi Arabian Airlines, lsf ACT Airlines",0.0,Frankfurt International Airport (FRA/EDDF),Sub,Boeing
1180,17 Sep 2018,Ilyushin Il-20M,RF-93610,Russian Air Force,15.0,35 km W off Latakia-Khmeimim Air Base (LTK),W/O,Ilyushin
1181,17 Sep 2018,Airbus A320-216,HS-ABI,Thai AirAsia,0.0,Bangkok-Don Muang International Airport (DMK/VTBD),Sub,Airbus
1182,18 Sep 2018,Antonov An-2R,YU-BRK,STS Aviatsija,0.0,near Jagodina,Sub,Antonov
1183,18 Sep 2018,British Aerospace BAe-125-700A,N109BG,Starjet Inc.,0.0,"Santa Fe Airport, NM (SAF)",Sub,British
1184,20 Sep 2018,Embraer EMB-120ER Brasilia,N233SW,Berry Aviation,0.0,"south of Lake Jackson, TX",Sub,Embraer
1185,23 Sep 2018,Boeing 757-224 (WL),N13113,United Airlines,0.0,"Newark Liberty International Airport, NJ (ERW/KEWR)",Non,Boeing
1186,24 Sep 2018,Honda HA-420 HondaJet,PR-TLZ,América Latina Tecnologia Agrícola - ALTA,0.0,"Foz do Iguaçu/Cataratas Airport, PR (IGU/SBFI)",Sub,Honda
1187,24 Sep 2018,Airbus A340-313,RP-C3435,Philippine Air Lines,0.0,"Vancouver International Airport, BC (YVR/CYVR)",Sub,Airbus
1188,25 Sep 2018,Beechcraft 200 Super King Air,N241CK,Kalitta Charters,1.0,"6,4 km SW of Oscoda Wurtsmith Airport, MI",W/O,Beechcraft
1189,26 Sep 2018,Airbus A321-231 (WL),N994AN,American Airlines,0.0,"Dallas/Fort Worth International Airport, TX (DFW/KDFW)",Non,Airbus
1190,27 Sep 2018,Airbus A310-304,C-GFAT,Air Transat,0.0,over North Atlantic Ocean,Non,Airbus
1191,27 Sep 2018,Cessna 208B Supervan 900,VH-FAY,CGG Aviation Australia,1.0,"120 km E off Sendai, Japan",W/O,Cessna
1192,27 Sep 2018,Dassault Falcon 50,N114TD,Air America Flight Services,2.0,"Greenville Downtown Airport, SC (GMU)",Sub,Dassault
1193,28 Sep 2018,Airbus A320-232,PT-MZJ,LATAM Airlines Brasil,0.0,"São Paulo-Congonhas Airport, SP (CGH)",Sub,Airbus
1194,28 Sep 2018,Boeing 737-8BK (WL),P2-PXE,Air Niugini,1.0,"0,5 km from Chuuk/Weno International Airport (TKK)",Sub,Boeing
1195,1 Oct 2018,Antonov An-2T,YV1719,Inversiones Moraima,0.0,42 km SE of Uriman,Sub,Antonov
1196,3 Oct 2018,Beechcraft 1900C,N575Q,"Ravn Connect, opb Frontier Flying Service",0.0,"Gambell Airport, AK (GAM)",Sub,Beechcraft
1197,3 Oct 2018,Antonov An-26,7706,Al Quwwat al-Jawwiya As-Sudaniya (Sudanese Air Force),0.0,Khartoum Airport (KRT),W/O,Antonov
1198,3 Oct 2018,Antonov An-32A,7721,Al Quwwat al-Jawwiya As-Sudaniya (Sudanese Air Force),0.0,Khartoum Airport (KRT),W/O,Antonov
1199,8 Oct 2018,Boeing 747-4D7,HS-TGF,Thai Airways International,0.0,Bangkok-Suvarnabhumi International Airport (BKK/VTBS),Sub,Boeing
1200,9 Oct 2018,Boeing 737-7H4 (WL),N287WN,Southwest Airlines,0.0,"Nashville International Airport, TN (BNA/KBNA)",Non,Boeing
1201,10 Oct 2018,Cessna 208B Grand Caravan EX,PK-JBR,Jhonlin Air Transport,0.0,Beoga Airstrip,Sub,Cessna
